Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
9.03,Low Sugar,0.021,Frozen Foods,119.89,1998,Small,Tier 3,Food Mart,2080.01
14.4,Regular,0.039,Snack Foods,182.76,1987,High,Tier 2,Supermarket Type1,4578.16
15.66,Low Sugar,0.061,Frozen Foods,176.66,1987,High,Tier 2,Supermarket Type1,4740.03
9.2,Regular,0.15,Canned,84.37,1998,Small,Tier 3,Food Mart,1390.69
14.4,reg,0.024,Frozen Foods,148.95,2009,Medium,Tier 2,Supermarket Type2,3887.02
9.45,Regular,0.083,Frozen Foods,133.99,1987,High,Tier 2,Supermarket Type1,2463.32
18.01,No Sugar,0.012,Health and Hygiene,229.54,1999,Medium,Tier 1,Departmental Store,6352.98
12.22,Low Sugar,0.032,Canned,137.13,2009,Medium,Tier 2,Supermarket Type2,3153.74
12.51,Low Sugar,0.093,Hard Drinks,172.55,2009,Medium,Tier 2,Supermarket Type2,3942.89
13.45,Regular,0.092,Fruits and Vegetables,169.24,1987,High,Tier 2,Supermarket Type1,4087.34
14.8,Regular,0.147,Baking Goods,145.64,2009,Medium,Tier 2,Supermarket Type2,3910.7
12.86,No Sugar,0.076,Health and Hygiene,154.49,2009,Medium,Tier 2,Supermarket Type2,3651.67
13.58,Regular,0.039,Meat,221.72,1999,Medium,Tier 1,Departmental Store,5191.1
11.35,Regular,0.023,Hard Drinks,95.79,1998,Small,Tier 3,Food Mart,2111.1
12.03,No Sugar,0.019,Household,182.31,1987,High,Tier 2,Supermarket Type1,4033.42
12.27,Regular,0.062,Snack Foods,158.12,2009,Medium,Tier 2,Supermarket Type2,3594.1
8.72,Low Sugar,0.132,Meat,137.37,1987,High,Tier 2,Supermarket Type1,2366.22
13.43,Regular,0.123,Fruits and Vegetables,133.58,2009,Medium,Tier 2,Supermarket Type2,3354.74
9.54,Regular,0.079,Soft Drinks,117.68,1987,High,Tier 2,Supermarket Type1,3127.75
12.99,No Sugar,0.112,Others,114.51,2009,Medium,Tier 2,Supermarket Type2,2863.54
12.92,Low Sugar,0.028,Fruits and Vegetables,191.12,1999,Medium,Tier 1,Departmental Store,4416.12
15.9,Low Sugar,0.016,Meat,182.28,1999,Medium,Tier 1,Departmental Store,4908.0
12.73,No Sugar,0.073,Health and Hygiene,148.4,2009,Medium,Tier 2,Supermarket Type2,3498.52
14.52,Regular,0.044,Frozen Foods,186.51,1987,High,Tier 2,Supermarket Type1,4683.72
13.39,Low Sugar,0.117,Dairy,151.09,2009,Medium,Tier 2,Supermarket Type2,2135.61
9.49,Low Sugar,0.007,Snack Foods,110.12,1998,Small,Tier 3,Food Mart,1983.84
9.36,No Sugar,0.073,Health and Hygiene,113.66,1998,Small,Tier 3,Food Mart,2053.13
9.46,Regular,0.119,Baking Goods,73.87,1998,Small,Tier 3,Food Mart,1234.6
11.28,No Sugar,0.031,Health and Hygiene,103.88,1998,Small,Tier 3,Food Mart,2258.95
13.61,Low Sugar,0.195,Baking Goods,103.32,2009,Medium,Tier 2,Supermarket Type2,2775.51
12.22,Low Sugar,0.029,Fruits and Vegetables,165.36,2009,Medium,Tier 2,Supermarket Type2,3731.51
10.99,No Sugar,0.012,Health and Hygiene,170.4,2009,Medium,Tier 2,Supermarket Type2,3556.0
11.14,Low Sugar,0.089,Snack Foods,174.32,2009,Medium,Tier 2,Supermarket Type2,3670.64
14.83,Low Sugar,0.022,Meat,187.71,1987,High,Tier 2,Supermarket Type1,4776.75
13.68,No Sugar,0.071,Household,166.14,1987,High,Tier 2,Supermarket Type1,4075.6
10.44,No Sugar,0.1,Household,56.01,1998,Small,Tier 3,Food Mart,1091.66
11.54,Low Sugar,0.054,Breakfast,118.11,2009,Medium,Tier 2,Supermarket Type2,2609.55
12.91,Low Sugar,0.049,Dairy,172.4,1987,High,Tier 2,Supermarket Type1,4029.86
14.41,Regular,0.027,Starchy Foods,163.46,1987,High,Tier 2,Supermarket Type1,4185.91
11.24,Regular,0.071,Frozen Foods,153.15,2009,Medium,Tier 2,Supermarket Type2,3258.06
17.36,Low Sugar,0.081,Dairy,153.55,1987,High,Tier 2,Supermarket Type1,4649.58
8.91,Regular,0.129,Canned,121.02,1998,Small,Tier 3,Food Mart,2075.26
10.24,Low Sugar,0.077,Dairy,123.65,1987,High,Tier 2,Supermarket Type1,2428.58
9.5,Low Sugar,0.05,Fruits and Vegetables,80.23,1998,Small,Tier 3,Food Mart,1375.0
12.7,Low Sugar,0.021,Frozen Foods,153.44,2009,Medium,Tier 2,Supermarket Type2,3594.93
13.32,Regular,0.039,Fruits and Vegetables,166.56,1987,High,Tier 2,Supermarket Type1,4004.28
12.9,Low Sugar,0.15,Dairy,129.8,2009,Medium,Tier 2,Supermarket Type2,3157.23
11.58,Regular,0.228,Soft Drinks,152.36,2009,Medium,Tier 2,Supermarket Type2,3321.03
11.99,Low Sugar,0.094,Fruits and Vegetables,125.16,2009,Medium,Tier 2,Supermarket Type2,2856.48
15.61,Regular,0.034,Snack Foods,171.59,1987,High,Tier 2,Supermarket Type1,4624.57
9.9,No Sugar,0.013,Health and Hygiene,139.2,1999,Medium,Tier 1,Departmental Store,6541.04
13.54,Low Sugar,0.031,Baking Goods,144.12,2009,Medium,Tier 2,Supermarket Type2,3594.04
8.26,Low Sugar,0.116,Frozen Foods,94.18,1998,Small,Tier 3,Food Mart,1378.73
18.95,Low Sugar,0.057,Dairy,165.98,1999,Medium,Tier 1,Departmental Store,5264.59
15.64,Low Sugar,0.054,Soft Drinks,146.74,1987,High,Tier 2,Supermarket Type1,4121.36
12.45,Low Sugar,0.075,Fruits and Vegetables,130.66,2009,Medium,Tier 2,Supermarket Type2,3072.05
12.44,Regular,0.112,Fruits and Vegetables,153.52,2009,Medium,Tier 2,Supermarket Type2,3537.66
10.74,Low Sugar,0.183,Canned,129.43,2009,Medium,Tier 2,Supermarket Type2,2660.9
10.6,Low Sugar,0.053,Fruits and Vegetables,141.22,2009,Medium,Tier 2,Supermarket Type2,2869.75
12.85,Regular,0.023,Soft Drinks,135.02,2009,Medium,Tier 2,Supermarket Type2,3251.48
9.1,Low Sugar,0.12,Frozen Foods,77.12,1998,Small,Tier 3,Food Mart,1219.82
12.08,Low Sugar,0.185,Dairy,110.34,2009,Medium,Tier 2,Supermarket Type2,2573.24
12.65,No Sugar,0.145,Health and Hygiene,134.69,2009,Medium,Tier 2,Supermarket Type2,3201.1
12.91,Regular,0.026,Meat,119.28,2009,Medium,Tier 2,Supermarket Type2,2942.74
10.03,Low Sugar,0.038,Snack Foods,111.68,1998,Small,Tier 3,Food Mart,2136.58
12.37,Low Sugar,0.039,Soft Drinks,124.24,2009,Medium,Tier 2,Supermarket Type2,2922.52
8.96,Low Sugar,0.01,Dairy,96.35,1998,Small,Tier 3,Food Mart,1581.19
9.2,Low Sugar,0.085,Baking Goods,109.8,1998,Small,Tier 3,Food Mart,1910.16
10.63,No Sugar,0.14,Health and Hygiene,129.02,2009,Medium,Tier 2,Supermarket Type2,2627.24
12.34,Low Sugar,0.016,Dairy,75.29,1998,Small,Tier 3,Food Mart,1913.64
11.07,Regular,0.101,Baking Goods,154.86,2009,Medium,Tier 2,Supermarket Type2,3255.23
16.35,Regular,0.108,Baking Goods,145.62,1999,Medium,Tier 1,Departmental Store,4259.52
11.53,Low Sugar,0.056,Fruits and Vegetables,126.87,2009,Medium,Tier 2,Supermarket Type2,2787.29
13.36,Low Sugar,0.03,Dairy,134.44,2009,Medium,Tier 2,Supermarket Type2,3354.95
10.91,No Sugar,0.104,Household,152.46,2009,Medium,Tier 2,Supermarket Type2,3169.95
12.26,Low Sugar,0.058,Fruits and Vegetables,132.85,2009,Medium,Tier 2,Supermarket Type2,3074.25
11.7,Low Sugar,0.032,Canned,156.24,2009,Medium,Tier 2,Supermarket Type2,3425.48
14.46,Low Sugar,0.114,Canned,129.24,2009,Medium,Tier 2,Supermarket Type2,3497.39
7.64,Low Sugar,0.019,Meat,41.84,1998,Small,Tier 3,Food Mart,166.92
15.48,Regular,0.057,Fruits and Vegetables,148.8,1987,High,Tier 2,Supermarket Type1,4127.88
10.46,Low Sugar,0.115,Starchy Foods,181.17,2009,Medium,Tier 2,Supermarket Type2,3655.17
13.33,No Sugar,0.036,Health and Hygiene,126.83,2009,Medium,Tier 2,Supermarket Type2,3193.92
16.9,No Sugar,0.054,Household,204.06,1999,Medium,Tier 1,Departmental Store,5574.4
13.11,Low Sugar,0.068,Hard Drinks,162.07,2009,Medium,Tier 2,Supermarket Type2,3863.85
12.18,No Sugar,0.15,Household,147.22,2009,Medium,Tier 2,Supermarket Type2,3778.82
14.96,Regular,0.033,Baking Goods,179.22,1987,High,Tier 2,Supermarket Type1,4633.65
15.45,No Sugar,0.029,Health and Hygiene,216.55,1999,Medium,Tier 1,Departmental Store,5507.07
12.1,Regular,0.019,Fruits and Vegetables,93.81,1998,Small,Tier 3,Food Mart,2239.64
11.11,Regular,0.048,Fruits and Vegetables,108.9,1987,High,Tier 2,Supermarket Type1,2324.24
14.92,Regular,0.12,Meat,174.81,1987,High,Tier 2,Supermarket Type1,4533.9
10.33,Low Sugar,0.061,Frozen Foods,164.31,2009,Medium,Tier 2,Supermarket Type2,3280.89
15.28,No Sugar,0.025,Household,117.06,2009,Medium,Tier 2,Supermarket Type2,3434.73
13.24,Regular,0.077,Meat,160.15,2009,Medium,Tier 2,Supermarket Type2,3854.97
15.2,Low Sugar,0.061,Snack Foods,190.59,1987,High,Tier 2,Supermarket Type1,4566.56
14.06,Low Sugar,0.083,Snack Foods,143.26,2009,Medium,Tier 2,Supermarket Type2,3694.94
10.69,Regular,0.055,Snack Foods,117.61,1987,High,Tier 2,Supermarket Type1,2408.33
11.64,Low Sugar,0.078,Meat,190.67,1987,High,Tier 2,Supermarket Type1,4117.8
11.89,No Sugar,0.061,Health and Hygiene,188.17,1987,High,Tier 2,Supermarket Type1,4122.94
17.03,Regular,0.021,Dairy,141.13,1999,Medium,Tier 1,Departmental Store,4322.64
10.14,Regular,0.027,Fruits and Vegetables,147.2,2009,Medium,Tier 2,Supermarket Type2,4740.12
11.14,Regular,0.026,Snack Foods,144.51,2009,Medium,Tier 2,Supermarket Type2,3058.9
15.53,Low Sugar,0.022,Meat,168.86,1987,High,Tier 2,Supermarket Type1,4550.64
12.63,Low Sugar,0.018,Canned,162.61,2009,Medium,Tier 2,Supermarket Type2,3767.08
11.09,Low Sugar,0.006,Frozen Foods,140.83,2009,Medium,Tier 2,Supermarket Type2,2972.53
15.69,Low Sugar,0.12,Baking Goods,161.41,1999,Medium,Tier 1,Departmental Store,4434.49
15.72,Regular,0.076,Snack Foods,178.39,1987,High,Tier 2,Supermarket Type1,4787.41
10.42,Low Sugar,0.039,Fruits and Vegetables,132.7,2009,Medium,Tier 2,Supermarket Type2,2655.46
15.09,Regular,0.037,Snack Foods,128.49,2009,Medium,Tier 2,Supermarket Type2,3624.0
9.44,Low Sugar,0.033,Frozen Foods,104.08,1998,Small,Tier 3,Food Mart,1847.37
14.91,Regular,0.014,Meat,202.3,1999,Medium,Tier 1,Departmental Store,5027.1
16.25,Low Sugar,0.046,Canned,192.27,1999,Medium,Tier 1,Departmental Store,5191.46
12.89,Low Sugar,0.061,Baking Goods,174.88,1987,High,Tier 2,Supermarket Type1,4075.95
15.78,Low Sugar,0.024,Fruits and Vegetables,176.85,1987,High,Tier 2,Supermarket Type1,4769.29
14.64,Regular,0.042,Fruits and Vegetables,151.58,2009,Medium,Tier 2,Supermarket Type2,3994.4
11.81,Low Sugar,0.049,Snack Foods,91.15,1998,Small,Tier 3,Food Mart,2118.65
13.55,Low Sugar,0.026,Frozen Foods,201.53,1987,High,Tier 2,Supermarket Type1,4770.38
15.67,Low Sugar,0.077,Baking Goods,191.78,1999,Medium,Tier 1,Departmental Store,5050.45
13.66,Low Sugar,0.162,Snack Foods,168.46,1987,High,Tier 2,Supermarket Type1,4119.22
11.38,Low Sugar,0.021,Dairy,140.64,2009,Medium,Tier 2,Supermarket Type2,3034.9
14.95,Low Sugar,0.041,Snack Foods,185.28,1987,High,Tier 2,Supermarket Type1,4755.32
14.79,No Sugar,0.113,Health and Hygiene,181.26,1987,High,Tier 2,Supermarket Type1,4636.41
18.74,Low Sugar,0.052,Fruits and Vegetables,199.51,1999,Medium,Tier 1,Departmental Store,5903.7
12.8,Regular,0.075,Fruits and Vegetables,144.69,2009,Medium,Tier 2,Supermarket Type2,3438.07
14.56,Low Sugar,0.041,Dairy,173.87,1999,Medium,Tier 1,Departmental Store,4433.58
9.73,Low Sugar,0.018,Meat,141.48,2009,Medium,Tier 2,Supermarket Type2,2680.13
11.09,Low Sugar,0.052,Soft Drinks,149.17,2009,Medium,Tier 2,Supermarket Type2,3144.5
12.4,No Sugar,0.116,Health and Hygiene,151.96,2009,Medium,Tier 2,Supermarket Type2,3496.02
9.8,No Sugar,0.21,Health and Hygiene,112.39,1998,Small,Tier 3,Food Mart,2100.15
13.09,Regular,0.022,Hard Drinks,197.75,1987,High,Tier 2,Supermarket Type1,4590.15
12.1,No Sugar,0.009,Others,183.08,1987,High,Tier 2,Supermarket Type1,4066.38
19.0,Low Sugar,0.026,Dairy,202.27,1999,Medium,Tier 1,Departmental Store,6019.01
13.43,Low Sugar,0.016,Soft Drinks,122.96,2009,Medium,Tier 2,Supermarket Type2,3135.81
13.96,Regular,0.081,Soft Drinks,161.59,1987,High,Tier 2,Supermarket Type1,4046.64
14.34,Regular,0.14,Snack Foods,114.4,2009,Medium,Tier 2,Supermarket Type2,3167.01
14.15,Low Sugar,0.065,Fruits and Vegetables,216.16,1999,Medium,Tier 1,Departmental Store,5205.29
10.73,Low Sugar,0.054,Meat,148.79,2009,Medium,Tier 2,Supermarket Type2,3055.69
14.95,Regular,0.011,Breakfast,144.16,2009,Medium,Tier 2,Supermarket Type2,3913.07
10.53,Low Sugar,0.008,Frozen Foods,142.38,2009,Medium,Tier 2,Supermarket Type2,2878.31
11.19,No Sugar,0.015,Household,155.38,2009,Medium,Tier 2,Supermarket Type2,3293.82
12.92,Regular,0.032,Meat,121.53,2009,Medium,Tier 2,Supermarket Type2,2990.74
12.52,Low Sugar,0.074,Soft Drinks,217.86,1998,Small,Tier 3,Food Mart,539.96
14.54,Low Sugar,0.128,Dairy,175.77,1999,Medium,Tier 1,Departmental Store,4468.82
10.47,Low Sugar,0.125,Soft Drinks,139.07,2009,Medium,Tier 2,Supermarket Type2,2797.75
10.18,Low Sugar,0.052,Fruits and Vegetables,138.71,2009,Medium,Tier 2,Supermarket Type2,2723.74
10.85,Low Sugar,0.094,Soft Drinks,160.07,2009,Medium,Tier 2,Supermarket Type2,2873.34
11.58,Low Sugar,0.018,Meat,141.99,2009,Medium,Tier 2,Supermarket Type2,3108.47
12.1,No Sugar,0.057,Others,201.72,1999,Medium,Tier 1,Departmental Store,4446.42
11.09,Regular,0.067,Fruits and Vegetables,129.2,2009,Medium,Tier 2,Supermarket Type2,2734.63
17.55,Low Sugar,0.039,Snack Foods,215.03,1999,Medium,Tier 1,Departmental Store,5951.51
9.72,Regular,0.054,Baking Goods,129.03,1987,High,Tier 2,Supermarket Type1,2422.16
13.17,Regular,0.047,Dairy,119.32,2009,Medium,Tier 2,Supermarket Type2,3004.24
14.08,No Sugar,0.026,Health and Hygiene,193.38,1987,High,Tier 2,Supermarket Type1,4723.11
14.65,Low Sugar,0.027,Fruits and Vegetables,127.99,2009,Medium,Tier 2,Supermarket Type2,3514.11
12.77,No Sugar,0.083,Health and Hygiene,175.12,1987,High,Tier 2,Supermarket Type1,4053.74
13.64,Low Sugar,0.12,Starchy Foods,186.28,1999,Medium,Tier 1,Departmental Store,4480.61
14.55,Low Sugar,0.08,Baking Goods,186.12,1987,High,Tier 2,Supermarket Type1,4681.45
13.69,Low Sugar,0.171,Soft Drinks,175.92,1999,Medium,Tier 1,Departmental Store,4279.81
9.39,Low Sugar,0.12,Snack Foods,77.7,1998,Small,Tier 3,Food Mart,1296.88
13.81,Low Sugar,0.058,Snack Foods,160.24,2009,Medium,Tier 2,Supermarket Type2,3985.2
12.67,Low Sugar,0.042,Breads,159.77,2009,Medium,Tier 2,Supermarket Type2,3718.86
9.84,Low Sugar,0.032,Fruits and Vegetables,103.94,1998,Small,Tier 3,Food Mart,1936.64
15.46,No Sugar,0.026,Household,171.83,1987,High,Tier 2,Supermarket Type1,4595.77
11.33,Regular,0.036,Hard Drinks,156.12,2009,Medium,Tier 2,Supermarket Type2,3341.22
16.36,Low Sugar,0.078,Fruits and Vegetables,156.11,1999,Medium,Tier 1,Departmental Store,4477.4
11.14,Low Sugar,0.094,Snack Foods,118.4,2009,Medium,Tier 2,Supermarket Type2,2526.52
13.28,Low Sugar,0.084,Meat,148.86,2009,Medium,Tier 2,Supermarket Type2,3631.96
10.71,Regular,0.017,Baking Goods,64.68,1998,Small,Tier 3,Food Mart,1329.18
10.55,No Sugar,0.179,Household,96.39,1998,Small,Tier 3,Food Mart,1941.0
8.13,No Sugar,0.14,Health and Hygiene,82.6,1998,Small,Tier 3,Food Mart,1113.56
11.7,Low Sugar,0.025,Seafood,180.97,2009,Medium,Tier 2,Supermarket Type2,3932.56
17.2,Regular,0.076,Breads,186.98,1999,Medium,Tier 1,Departmental Store,5298.74
11.93,Low Sugar,0.067,Breads,143.48,2009,Medium,Tier 2,Supermarket Type2,3216.58
14.73,Low Sugar,0.035,Baking Goods,158.53,1987,High,Tier 2,Supermarket Type1,4157.02
10.93,Regular,0.049,Snack Foods,136.0,2009,Medium,Tier 2,Supermarket Type2,2837.42
12.09,Low Sugar,0.018,Snack Foods,111.35,2009,Medium,Tier 2,Supermarket Type2,2596.93
7.97,Low Sugar,0.086,Fruits and Vegetables,100.48,1998,Small,Tier 3,Food Mart,1443.31
14.67,No Sugar,0.118,Others,173.5,1999,Medium,Tier 1,Departmental Store,4450.43
12.99,No Sugar,0.141,Household,106.83,2009,Medium,Tier 2,Supermarket Type2,2706.41
14.62,Low Sugar,0.015,Meat,171.2,1999,Medium,Tier 1,Departmental Store,4392.14
14.75,Low Sugar,0.053,Fruits and Vegetables,166.92,1999,Medium,Tier 1,Departmental Store,4333.3
15.86,No Sugar,0.047,Health and Hygiene,142.56,1987,High,Tier 2,Supermarket Type1,4085.8
13.34,Regular,0.03,Canned,160.5,2009,Medium,Tier 2,Supermarket Type2,3884.64
12.03,No Sugar,0.032,Others,168.48,2009,Medium,Tier 2,Supermarket Type2,3750.96
11.97,Low Sugar,0.004,Frozen Foods,116.15,2009,Medium,Tier 2,Supermarket Type2,2666.55
14.83,No Sugar,0.078,Health and Hygiene,195.94,1987,High,Tier 2,Supermarket Type1,4945.96
12.69,No Sugar,0.196,Household,163.32,2009,Medium,Tier 2,Supermarket Type2,3793.99
10.7,Low Sugar,0.041,Seafood,86.35,1998,Small,Tier 3,Food Mart,1769.62
11.56,Low Sugar,0.086,Fruits and Vegetables,141.52,2009,Medium,Tier 2,Supermarket Type2,3094.56
12.48,Low Sugar,0.034,Frozen Foods,144.21,2009,Medium,Tier 2,Supermarket Type2,3355.64
12.08,Low Sugar,0.029,Dairy,117.53,2009,Medium,Tier 2,Supermarket Type2,2719.22
14.17,Low Sugar,0.038,Snack Foods,125.58,2009,Medium,Tier 2,Supermarket Type2,3357.59
12.78,Low Sugar,0.128,Snack Foods,171.78,2009,Medium,Tier 2,Supermarket Type2,3988.7
16.64,Regular,0.094,Canned,194.6,1999,Medium,Tier 1,Departmental Store,5327.33
13.06,Low Sugar,0.026,Frozen Foods,161.47,2009,Medium,Tier 2,Supermarket Type2,3840.28
16.8,reg,0.019,Snack Foods,192.77,1999,Medium,Tier 1,Departmental Store,4225.99
14.94,No Sugar,0.077,Household,188.74,1987,High,Tier 2,Supermarket Type1,4823.62
13.94,Low Sugar,0.041,Frozen Foods,98.97,2009,Medium,Tier 2,Supermarket Type2,3560.26
10.51,Low Sugar,0.043,Baking Goods,121.81,1987,High,Tier 2,Supermarket Type1,2453.04
13.82,Low Sugar,0.066,Fruits and Vegetables,94.37,1999,Medium,Tier 1,Departmental Store,5719.69
12.17,Low Sugar,0.158,Snack Foods,112.14,2009,Medium,Tier 2,Supermarket Type2,2629.45
14.27,Low Sugar,0.01,Snack Foods,184.71,1987,High,Tier 2,Supermarket Type1,4590.05
13.83,Regular,0.025,Snack Foods,143.46,2009,Medium,Tier 2,Supermarket Type2,3647.05
12.65,Low Sugar,0.015,Dairy,194.72,1999,Medium,Tier 1,Departmental Store,4428.06
12.76,Regular,0.028,Fruits and Vegetables,141.51,2009,Medium,Tier 2,Supermarket Type2,3364.43
13.3,Regular,0.128,Snack Foods,151.15,2009,Medium,Tier 2,Supermarket Type2,3683.19
12.79,Low Sugar,0.129,Snack Foods,158.23,2009,Medium,Tier 2,Supermarket Type2,3712.56
14.99,Low Sugar,0.089,Snack Foods,144.06,2009,Medium,Tier 2,Supermarket Type2,3919.81
13.66,Low Sugar,0.057,Soft Drinks,146.74,2009,Medium,Tier 2,Supermarket Type2,3675.82
12.18,Low Sugar,0.102,Snack Foods,111.27,2009,Medium,Tier 2,Supermarket Type2,2614.19
12.52,Low Sugar,0.024,Baking Goods,160.88,2009,Medium,Tier 2,Supermarket Type2,3705.89
13.55,Low Sugar,0.124,Soft Drinks,147.12,2009,Medium,Tier 2,Supermarket Type2,3658.63
16.72,Low Sugar,0.021,Snack Foods,174.48,1999,Medium,Tier 1,Departmental Store,4933.27
11.43,Low Sugar,0.228,Fruits and Vegetables,137.91,2009,Medium,Tier 2,Supermarket Type2,2990.64
13.75,Regular,0.079,Starchy Foods,114.59,2009,Medium,Tier 2,Supermarket Type2,3036.96
12.23,Low Sugar,0.052,Snack Foods,160.56,2009,Medium,Tier 2,Supermarket Type2,3634.56
11.52,No Sugar,0.066,Others,109.74,1987,High,Tier 2,Supermarket Type1,2433.52
12.0,Low Sugar,0.058,Soft Drinks,110.21,2009,Medium,Tier 2,Supermarket Type2,2551.99
12.47,Regular,0.04,Breads,151.92,2009,Medium,Tier 2,Supermarket Type2,3512.03
10.55,No Sugar,0.072,Health and Hygiene,111.63,1998,Small,Tier 3,Food Mart,2254.13
11.89,Low Sugar,0.061,Fruits and Vegetables,134.16,2009,Medium,Tier 2,Supermarket Type2,3018.46
13.15,Low Sugar,0.14,Soft Drinks,151.01,2009,Medium,Tier 2,Supermarket Type2,4117.96
14.06,Regular,0.046,Breads,208.62,1999,Medium,Tier 1,Departmental Store,5031.47
12.36,Low Sugar,0.188,Starchy Foods,152.56,2009,Medium,Tier 2,Supermarket Type2,3500.27
11.88,Low Sugar,0.018,Fruits and Vegetables,134.63,2009,Medium,Tier 2,Supermarket Type2,3024.21
11.57,Low Sugar,0.009,Frozen Foods,109.25,1987,High,Tier 2,Supermarket Type1,2436.35
12.94,Low Sugar,0.124,Canned,198.96,1998,Small,Tier 3,Food Mart,2155.43
10.37,Low Sugar,0.117,Frozen Foods,141.27,2009,Medium,Tier 2,Supermarket Type2,2818.47
10.87,Low Sugar,0.122,Dairy,130.32,2009,Medium,Tier 2,Supermarket Type2,2708.12
11.91,Low Sugar,0.045,Dairy,129.12,2009,Medium,Tier 2,Supermarket Type2,2919.63
8.93,Low Sugar,0.038,Frozen Foods,97.79,1998,Small,Tier 3,Food Mart,1603.34
13.62,Regular,0.113,Baking Goods,114.03,2009,Medium,Tier 2,Supermarket Type2,2997.47
11.18,No Sugar,0.096,Health and Hygiene,127.62,2009,Medium,Tier 2,Supermarket Type2,2722.95
8.8,No Sugar,0.141,Health and Hygiene,98.38,1998,Small,Tier 3,Food Mart,1587.57
13.97,No Sugar,0.105,Household,160.54,1987,High,Tier 2,Supermarket Type1,4028.41
14.43,Low Sugar,0.128,Frozen Foods,151.94,2009,Medium,Tier 2,Supermarket Type2,3954.8
15.96,Low Sugar,0.045,Canned,159.06,1999,Medium,Tier 1,Departmental Store,4446.39
9.21,Low Sugar,0.113,Snack Foods,138.68,2009,Medium,Tier 2,Supermarket Type2,2505.31
14.12,No Sugar,0.069,Health and Hygiene,182.13,1987,High,Tier 2,Supermarket Type1,4503.45
12.84,No Sugar,0.02,Household,131.99,2009,Medium,Tier 2,Supermarket Type2,3187.56
8.44,No Sugar,0.188,Health and Hygiene,102.17,1987,High,Tier 2,Supermarket Type1,4466.61
15.85,Low Sugar,0.038,Fruits and Vegetables,195.05,1999,Medium,Tier 1,Departmental Store,5157.62
13.24,Regular,0.046,Baking Goods,114.53,2009,Medium,Tier 2,Supermarket Type2,2919.89
11.86,Low Sugar,0.14,Canned,122.12,2009,Medium,Tier 2,Supermarket Type2,2764.76
12.86,Low Sugar,0.062,Fruits and Vegetables,139.32,2009,Medium,Tier 2,Supermarket Type2,3341.99
13.88,No Sugar,0.023,Health and Hygiene,116.7,2009,Medium,Tier 2,Supermarket Type2,3110.29
13.33,No Sugar,0.089,Health and Hygiene,159.58,2009,Medium,Tier 2,Supermarket Type2,3863.69
13.13,Regular,0.014,Fruits and Vegetables,131.47,1999,Medium,Tier 1,Departmental Store,6657.74
11.68,No Sugar,0.097,Health and Hygiene,129.87,1998,Small,Tier 3,Food Mart,1397.17
12.35,Low Sugar,0.094,Dairy,182.43,1987,High,Tier 2,Supermarket Type1,4109.54
7.35,Regular,0.013,Fruits and Vegetables,54.69,1998,Small,Tier 3,Food Mart,366.37
13.27,Low Sugar,0.028,Frozen Foods,131.42,2009,Medium,Tier 2,Supermarket Type2,3273.51
17.87,Low Sugar,0.033,Soft Drinks,207.66,1999,Medium,Tier 1,Departmental Store,5872.89
10.37,Low Sugar,0.019,Dairy,163.15,2009,Medium,Tier 2,Supermarket Type2,3268.11
13.61,Low Sugar,0.026,Canned,108.18,1998,Small,Tier 3,Food Mart,1338.06
15.39,Low Sugar,0.019,Snack Foods,153.95,1999,Medium,Tier 1,Departmental Store,4213.21
11.1,Low Sugar,0.082,Fruits and Vegetables,92.2,1998,Small,Tier 3,Food Mart,1980.24
16.33,Low Sugar,0.052,Frozen Foods,196.68,1999,Medium,Tier 1,Departmental Store,5300.06
13.91,Low Sugar,0.13,Fruits and Vegetables,193.95,1987,High,Tier 2,Supermarket Type1,4698.38
15.42,Regular,0.021,Frozen Foods,187.03,1987,High,Tier 2,Supermarket Type1,4897.07
13.23,Low Sugar,0.019,Frozen Foods,175.13,1987,High,Tier 2,Supermarket Type1,4158.06
8.26,Regular,0.072,Canned,98.37,1998,Small,Tier 3,Food Mart,1465.74
9.76,Low Sugar,0.044,Soft Drinks,118.38,1998,Small,Tier 3,Food Mart,734.52
12.22,Low Sugar,0.025,Snack Foods,123.19,2009,Medium,Tier 2,Supermarket Type2,2867.06
12.81,No Sugar,0.067,Household,153.02,2009,Medium,Tier 2,Supermarket Type2,3611.34
11.8,Low Sugar,0.036,Seafood,142.71,2009,Medium,Tier 2,Supermarket Type2,3171.85
10.76,No Sugar,0.074,Household,121.79,2009,Medium,Tier 2,Supermarket Type2,2508.09
10.14,Regular,0.077,Frozen Foods,127.87,1987,High,Tier 2,Supermarket Type1,2493.74
10.41,Regular,0.073,Frozen Foods,148.34,2009,Medium,Tier 2,Supermarket Type2,2973.15
12.29,No Sugar,0.037,Household,129.26,2009,Medium,Tier 2,Supermarket Type2,3007.15
10.95,Low Sugar,0.039,Canned,123.62,2009,Medium,Tier 2,Supermarket Type2,2589.45
11.37,Regular,0.024,Meat,179.25,2009,Medium,Tier 2,Supermarket Type2,3822.88
13.45,Low Sugar,0.092,Hard Drinks,153.92,2009,Medium,Tier 2,Supermarket Type2,3774.1
12.64,Low Sugar,0.155,Snack Foods,133.48,2009,Medium,Tier 2,Supermarket Type2,3174.12
